Tenure Months,Monthly Charges,Total Charges,CLTV,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Actual,Churn_Probability,Risk_Level,Recommended_Action
59,75.95,4542.35,5446,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,False,0,0.02735676215432691,Low Risk,Maintain relationship
7,78.55,522.95,4025,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.8340723351431899,High Risk,Immediate retention offer
54,20.1,1079.45,5755,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0.032918518618885846,Low Risk,Maintain relationship
2,20.65,38.7,3845,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1,0.23307292928701018,Low Risk,Maintain relationship
71,105.15,7555.0,5707,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,0,0.2879250118610253,Low Risk,Maintain relationship
60,105.9,6396.45,4105,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1,0.6294159105071387,High Risk,Immediate retention offer
33,24.15,800.3,4501,False,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,0,0.02511017873828501,Low Risk,Maintain relationship
7,20.65,155.9,2100,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0,0.2333555377619043,Low Risk,Maintain relationship
14,87.25,1258.6,4786,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1,0.83659986049379,High Risk,Immediate retention offer
72,61.2,4390.25,4085,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0,0.009990987128637519,Low Risk,Maintain relationship
4,70.2,280.35,4444,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.8124977398508535,High Risk,Immediate retention offer
9,19.7,180.7,4194,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,0,0.17241387865801902,Low Risk,Maintain relationship
14,78.1,1122.4,3157,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0,0.8257509575241343,High Risk,Immediate retention offer
37,40.2,1525.35,2308,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,0,0.12465130649998306,Low Risk,Maintain relationship
30,51.2,1561.5,4568,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,1,0.1249960683771281,Low Risk,Maintain relationship
2,90.4,168.2,4157,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1,0.9121626945731356,High Risk,Immediate retention offer
